Attribute Name,AVP Code,Data Type
CC-Correlation-Id,411,OctetString
CC-Input-Octets,412,Unsigned64
CC-Money,413,Grouped
CC-Output-Octets,414,Unsigned64
CC-Request-Number,415,Unsigned32
CC-Request-Type,416,Enumerated
CC-Service-Specific-Units,417,Unsigned64
CC-Session-Failover,418,Enumerated
CC-Sub-Session-Id,419,Unsigned64
CC-Time,420,Unsigned32
CC-Total-Octets,421,Unsigned64
CC-Unit-Type,454,Enumerated
Check-Balance-Result,422,Enumerated
Cost-Information,423,Grouped
Cost-Unit,424,UTF8String
Credit-Control,426,Enumerated
Credit-Control-Failure-Handling,427,Enumerated
Currency-Code,425,Unsigned32
Direct-Debiting-Failure-Handling,428,Enumerated
Exponent,429,Integer32
Final-Unit-Action,449,Enumerated
Final-Unit-Indication,430,Grouped
Granted-Service-Unit,431,Grouped
G-S-U-Pool-Identifier,453,Unsigned32
G-S-U-Pool-Reference,457,Grouped
Multiple-Services-Credit-Control,456,Grouped
Multiple-Services-Indicator,455,Enumerated
Rating-Group,432,Unsigned32
Redirect-Address-Type,433,Enumerated
Redirect-Server,434,Grouped
Redirect-Server-Address,435,UTF8String
Requested-Action,436,Enumerated
Requested-Service-Unit,437,Grouped
Restriction-Filter-Rule,438,IPFiltrRule
Service-Context-Id,461,UTF8String
Service-Identifier,439,Unsigned32
Service-Parameter-Info,440,Grouped
Service-Parameter-Type,441,Unsigned32
Service-Parameter-Value,442,OctetString
Subscription-Id,443,Grouped
Subscription-Id-Data,444,UTF8String
Subscription-Id-Type,450,Enumerated
Tariff-Change-Usage,452,Enumerated
Tariff-Time-Change,451,Time
Unit-Value,445,Grouped
Used-Service-Unit,446,Grouped
User-Equipment-Info,458,Grouped
User-Equipment-Info-Type,459,Enumerated
User-Equipment-Info-Value,460,OctetString
Value-Digits,447,Integer64
Validity-Time,448,Unsigned32
